task_id,run_id,flow_id,hpo_config,predictive_accuracy
16,168993,1068,"{'weka.J48(28)_C': '0.25', 'weka.J48(28)_M': '2'}",0.8095
16,169307,1069,{},0.1
16,169639,1070,"{'weka.Ridor(3)_F': '3', 'weka.Ridor(3)_S': '1', 'weka.Ridor(3)_N': '2.0'}",0.8055
16,173207,1071,{'weka.OneR(17)_B': '6'},0.3005
16,175854,1073,"{'weka.PART(3)_C': '0.25', 'weka.PART(3)_M': '2', 'weka.PART(3)_Q': '1'}",0.8455
16,178100,1074,"{'weka.OLM(3)_R': '0', 'weka.OLM(3)_C': '1', 'weka.OLM(3)_U': '0'}",0.106
16,196631,1179,"{'weka.RBFKernel(3)_G': '0.01', 'weka.RBFKernel(3)_C': '250007', 'weka.SMO_RBFKernel(3)_C': '1.0', 'weka.SMO_RBFKernel(3)_N': '0', 'weka.SMO_RBFKernel(3)_L': '0.001', 'weka.SMO_RBFKernel(3)_P': '1.0E-12', 'weka.SMO_RBFKernel(3)_V': '-1', 'weka.SMO_RBFKernel(3)_W': '1', 'weka.SMO_RBFKernel(3)_K': 'weka.classifiers.functions.supportVector.RBFKernel'}",0.927
16,568508,1720,"{'weka.J48(33)_C': '0.25', 'weka.J48(33)_M': '2'}",0.8095
16,568601,1721,"{'weka.IBk(7)_K': '1', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true'}",0.964
16,568651,1724,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '0.001', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1', 'weka.REPTree(15)_L': '-1', 'weka.REPTree(15)_I': '0.0'}",0.773
16,568745,1726,"{'weka.RandomForest(9)_I': '100', 'weka.RandomForest(9)_K': '0', 'weka.RandomForest(9)_S': '1', 'weka.RandomForest(9)_num-slots': '1'}",0.961
16,568827,1728,"{'weka.HoeffdingTree(4)_L': '2', 'weka.HoeffdingTree(4)_S': '1', 'weka.HoeffdingTree(4)_E': '1.0E-7', 'weka.HoeffdingTree(4)_H': '0.05', 'weka.HoeffdingTree(4)_M': '0.01', 'weka.HoeffdingTree(4)_G': '200.0', 'weka.HoeffdingTree(4)_N': '0.0'}",0.935
16,568878,1730,"{'weka.JRip(5)_F': '3', 'weka.JRip(5)_N': '2.0', 'weka.JRip(5)_O': '2', 'weka.JRip(5)_S': '1'}",0.809
16,568997,1745,{},0.935
16,569161,1805,"{'weka.Logistic(6)_R': '1.0E-8', 'weka.Logistic(6)_M': '-1'}",0.896
16,569200,2228,"{'weka.PolyKernel(9)_E': '1.0', 'weka.PolyKernel(9)_C': '250007', 'weka.SMO_PolyKernel(11)_C': '1.0', 'weka.SMO_PolyKernel(11)_N': '0', 'weka.SMO_PolyKernel(11)_L': '0.001', 'weka.SMO_PolyKernel(11)_P': '1.0E-12', 'weka.SMO_PolyKernel(11)_V': '-1', 'weka.SMO_PolyKernel(11)_W': '1', 'weka.SMO_PolyKernel(11)_K': 'weka.classifiers.functions.supportVector.PolyKernel'}",0.9635
16,569291,1721,"{'weka.IBk(7)_K': '5', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true'}",0.96
16,569373,1721,"{'weka.IBk(7)_K': '10', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true'}",0.952
16,569459,3568,"{'weka.IBk(7)_K': '1', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true', 'weka.AttributeSelectedClassifier_IBk(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_IBk(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_IBk(1)_W': 'weka.classifiers.lazy.IBk'}",0.965
16,569538,3569,"{'weka.AttributeSelectedClassifier_NaiveBayes(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_NaiveBayes(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_NaiveBayes(1)_W': 'weka.classifiers.bayes.NaiveBayes'}",0.938
16,569619,3548,"{'weka.RandomForest(9)_I': '100', 'weka.RandomForest(9)_K': '0', 'weka.RandomForest(9)_S': '1', 'weka.RandomForest(9)_num-slots': '1', 'weka.AttributeSelectedClassifier_RandomForest(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_RandomForest(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_RandomForest(1)_W': 'weka.classifiers.trees.RandomForest'}",0.9595
16,569711,3570,"{'weka.HoeffdingTree(4)_L': '2', 'weka.HoeffdingTree(4)_S': '1', 'weka.HoeffdingTree(4)_E': '1.0E-7', 'weka.HoeffdingTree(4)_H': '0.05', 'weka.HoeffdingTree(4)_M': '0.01', 'weka.HoeffdingTree(4)_G': '200.0', 'weka.HoeffdingTree(4)_N': '0.0', 'weka.AttributeSelectedClassifier_HoeffdingTree(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_HoeffdingTree(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_HoeffdingTree(1)_W': 'weka.classifiers.trees.HoeffdingTree'}",0.938
16,569799,3571,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '0.001', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1', 'weka.REPTree(15)_L': '-1', 'weka.REPTree(15)_I': '0.0', 'weka.AttributeSelectedClassifier_REPTree(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_REPTree(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_REPTree(1)_W': 'weka.classifiers.trees.REPTree'}",0.7735
16,569966,3568,"{'weka.IBk(7)_K': '5', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true', 'weka.AttributeSelectedClassifier_IBk(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_IBk(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_IBk(1)_W': 'weka.classifiers.lazy.IBk'}",0.9635
16,570049,3568,"{'weka.IBk(7)_K': '10', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true', 'weka.AttributeSelectedClassifier_IBk(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_IBk(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_IBk(1)_W': 'weka.classifiers.lazy.IBk'}",0.9595
16,570133,1721,"{'weka.IBk(7)_K': '2', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true'}",0.947
16,570219,3568,"{'weka.IBk(7)_K': '2', 'weka.IBk(7)_W': '0', 'weka.IBk(7)_A': 'true', 'weka.AttributeSelectedClassifier_IBk(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_IBk(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_IBk(1)_W': 'weka.classifiers.lazy.IBk'}",0.9495
16,570297,1820,"{'weka.MultilayerPerceptron(4)_L': '0.3', 'weka.MultilayerPerceptron(4)_M': '0.2', 'weka.MultilayerPerceptron(4)_N': '500', 'weka.MultilayerPerceptron(4)_V': '0', 'weka.MultilayerPerceptron(4)_S': '0', 'weka.MultilayerPerceptron(4)_E': '20', 'weka.MultilayerPerceptron(4)_H': '1'}",0.396
16,570380,2267,"{'weka.AdaBoostM1_DecisionStump(14)_P': '100', 'weka.AdaBoostM1_DecisionStump(14)_S': '1', 'weka.AdaBoostM1_DecisionStump(14)_I': '100', 'weka.AdaBoostM1_DecisionStump(14)_W': 'weka.classifiers.trees.DecisionStump'}",0.1945
16,570548,3554,"{'weka.MultilayerPerceptron(4)_L': '0.3', 'weka.MultilayerPerceptron(4)_M': '0.2', 'weka.MultilayerPerceptron(4)_N': '500', 'weka.MultilayerPerceptron(4)_V': '0', 'weka.MultilayerPerceptron(4)_S': '0', 'weka.MultilayerPerceptron(4)_E': '20', 'weka.MultilayerPerceptron(4)_H': '1', 'weka.AttributeSelectedClassifier_MultilayerPerceptron(1)_E': 'weka.attributeSelection.CfsSubsetEval -P 1 -E 1', 'weka.AttributeSelectedClassifier_MultilayerPerceptron(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.AttributeSelectedClassifier_MultilayerPerceptron(1)_W': 'weka.classifiers.functions.MultilayerPerceptron'}",0.3895
16,573306,1718,{},0.1
16,573334,1719,{'weka.OneR(18)_B': '6'},0.3005
16,573374,1720,"{'weka.J48(33)_C': '0.25', 'weka.J48(33)_M': '1'}",0.8165
16,573422,1725,"{'weka.RandomTree(11)_K': '0', 'weka.RandomTree(11)_M': '1.0', 'weka.RandomTree(11)_V': '0.001', 'weka.RandomTree(11)_S': '1'}",0.731
16,573466,1727,"{'weka.LMT(4)_I': '-1', 'weka.LMT(4)_M': '15', 'weka.LMT(4)_W': '0.0'}",0.9525
16,573491,1729,{},0.1945
16,573526,1726,"{'weka.RandomForest(9)_I': '200', 'weka.RandomForest(9)_K': '0', 'weka.RandomForest(9)_S': '1', 'weka.RandomForest(9)_num-slots': '6', 'weka.RandomForest(9)_num-decimal-places': '3'}",0.9635
16,573565,1724,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '0.001', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1', 'weka.REPTree(15)_L': '3', 'weka.REPTree(15)_I': '0.0', 'weka.REPTree(15)_num-decimal-places': '1'}",0.5265
16,573607,1880,{},0.935
16,573645,1789,"{'weka.PART(4)_C': '0.25', 'weka.PART(4)_M': '2', 'weka.PART(4)_Q': '1'}",0.8455
16,573682,1726,"{'weka.RandomForest(9)_I': '201', 'weka.RandomForest(9)_K': '0', 'weka.RandomForest(9)_S': '1', 'weka.RandomForest(9)_num-slots': '7', 'weka.RandomForest(9)_num-decimal-places': '3'}",0.963
16,573684,1726,"{'weka.RandomForest(9)_I': '201', 'weka.RandomForest(9)_K': '0', 'weka.RandomForest(9)_S': '1', 'weka.RandomForest(9)_num-slots': '7', 'weka.RandomForest(9)_num-decimal-places': '3'}",0.963
