dataset,SVC,RandomForest,DecisionTree,GradientBoosting
semeion,0.9566786932434297,0.9315904654876679,0.758330868870882,0.9253031288815284
statlog-vehicle,0.7541663766098156,0.7387747998607728,0.6950574312565262,0.7636199095022624
lymphography,0.8581081081081081,0.8445945945945946,0.7567567567567568,0.8783783783783784
cardiotocography-10clases,0.8080905827119581,0.879595691797846,0.8109030654515326,0.8730041425020711
pittsburg-bridges-T-OR-D,0.862857142857143,0.8723809523809525,0.8633333333333333,0.8723809523809525
letter,0.9449,0.96545,0.8749,0.9182500000000001
echocardiogram,0.823931623931624,0.8472934472934472,0.7393162393162394,0.8242165242165242
statlog-landsat,0.8966588966588966,0.9188811188811188,0.8534576534576533,0.9039627039627041
wine,0.9833333333333332,0.9774603174603176,0.8931746031746032,0.9214285714285714
oocytes_trisopterus_nucleus_2f,0.7938149282411577,0.8036870233591544,0.7302468023779498,0.802594127184291
audiology-std,0.6122448979591837,0.8112244897959184,0.7755102040816326,0.8112244897959183
blood,0.7740492170022372,0.7446442953020135,0.7071767337807606,0.7794004474272931
hill-valley,0.5066217732884399,0.548699112335476,0.5454205353195253,0.5379995238581097
statlog-heart,0.8296296296296297,0.8,0.7222222222222222,0.7925925925925926
oocytes_merluccius_states_2f,0.9217264466762314,0.9197800095648017,0.8816260162601626,0.9266379722620757
musk-2,0.9690819491350195,0.9755972155214006,0.9681705608013417,0.9643821076573161
contrac,0.5512394788423844,0.5254698489565317,0.4894776893808371,0.5458157500288252
pittsburg-bridges-TYPE,0.5619047619047619,0.6285714285714286,0.5428571428571428,0.5809523809523809
glass,0.6915836101882613,0.75703211517165,0.7289036544850499,0.7617940199335548
pittsburg-bridges-SPAN,0.6637426900584795,0.6192982456140351,0.5748538011695906,0.5865497076023392
breast-cancer-wisc-prog,0.7878205128205128,0.7826923076923077,0.6562820512820512,0.7676923076923077
spambase,0.9321906717650947,0.9537048576688854,0.9069789453807298,0.9443605721569183
optical,0.9859430604982207,0.9822064056939503,0.8969750889679716,0.9770462633451956
chess-krvk,0.5453380825999433,0.8301967751716697,0.8399273179541307,0.5679711207734831
breast-tissue,0.5844155844155844,0.6800865800865801,0.6329004329004329,0.6606060606060605
zoo,0.94,0.96,0.9503846153846154,0.9603846153846154
